"Enabled", "Activée"
" Yes", " Oui"
" No", " Non"
"Testing or Production", "Essais ou production"
" Production", " Production"
" Testing", "Essai"
"How to open the payment", "Comment ouvrir le paiement"
"Product simulator location", "Emplacement du simulateur de produit"
"Product simulator", "Simulateur de produit"
"Checkout simulator", "Simulateur de caisse"
"PaymentMethod Order", "Méthode de paiement"
" Do not show", " Ne montre pas"
" Complete", " Achevée"
" Mini (Recomended)", " Mini (recommandé)"
" Selector", " Sélecteur"
" Descriptive Text", " Texte descriptif"
"Minimum cart amount (ex: 24.99)", "Montant minimum du panier (ex: 24.99)"
"Finance with Paga+Tarde", "Financez avec Paga + Tarde"
"Checkout Pay Option Title", "Titre de l'option de paiement"
"Checkout Progress Title", "Titre de progression de la caisse"
"Finance with Paga+Tarde", "Financez avec Paga + Tarde"
"Success Url", "URL de réussite"
"Failure Url", "Echec Url"
"Number of default installments", "Nombre de versements par défaut"
"Are you sure you want to leave?", "Êtes-vous sûr de vouloir quitter?"
"Instant financing - 100% online", "Financement instantané - 100% en ligne"
"Paga+Tarde is an online financing platform.", "Paga + Tarde est une plateforme de financement en ligne."
"Login to the Paga+Tarde pannel", "Connexion au panneau Paga + Tarde"
"Documentation", "Documentation"